,Timestamp,msTimestamp,,Region0R,Region1G,,,LedState
,57932.73362,57932733.62,182798927,2607.950814,2108.730754,0,,0
0,57932.75772,57932757.72,183620416,3630.180108,1425.609443,2,0,4
1,57932.78284,57932782.84,184440673,1989.005425,1959.94859,4,2,1
2,57932.80805,57932808.05,185262194,2607.829295,2109.767344,1,4,2
3,57932.83369,57932833.69,186082659,3630.397107,1424.610623,2,1,4
4,57932.85809,57932858.09,186904900,1988.941772,1957.90059,4,2,1
5,57932.88301,57932883.01,187725493,2609.128391,2106.435148,1,4,2
6,57932.90798,57932907.98,188545526,3627.836528,1424.925377,2,1,4
7,57932.93345,57932933.45,189367127,1987.665823,1958.135607,4,2,1
8,57932.95827,57932958.27,190187800,2608.162025,2107.182164,1,4,2
9,57932.98317,57932983.17,191009353,3629.462568,1425.470951,2,1,4
10,57933.00824,57933008.24,191829850,1988.461483,1958.303475,4,2,1
11,57933.03352,57933033.52,192651467,2608.020253,2105.146754,1,4,2
12,57933.05833,57933058.33,193472044,3628.105606,1425.231738,2,1,4
13,57933.08347,57933083.47,194292653,1988.34575,1956.960525,4,2,1
14,57933.10866,57933108.66,195114734,2607.349005,2105.474098,1,4,2
15,57933.13354,57933133.54,195936319,3627.133454,1425.072262,2,1,4
16,57933.15862,57933158.62,196756752,1987.905967,1957.778885,4,2,1
17,57933.18385,57933183.85,197577473,2608.153345,2104.84459,1,4,2
18,57933.20874,57933208.74,198399506,3627.622423,1425.294689,2,1,4
19,57933.23391,57933233.91,199219651,1988.114286,1961.346098,4,2,1
20,57933.25911,57933259.11,200041220,2608.248825,2102.846951,1,4,2
21,57933.28394,57933283.94,201648117,3628.678481,1425.353443,2,1,4
22,57933.30913,57933309.13,202469894,1988.742134,1959.319082,4,2,1
23,57933.33407,57933334.07,203290391,2607.707776,2102.993836,1,4,2
24,57933.35921,57933359.21,204112024,3625.58264,1425.047082,2,1,4
25,57933.38414,57933384.14,204932601,1989.222423,1960.599082,4,2,1
26,57933.40932,57933409.32,205753162,2606.967089,2101.911082,1,4,2
27,57933.43432,57933434.32,206574267,3628.166365,1424.833049,2,1,4
28,57933.45966,57933459.66,207395308,1989.511754,1959.868852,4,2,1
29,57933.48462,57933484.62,208216493,2607.861121,2100.924852,1,4,2
