Time,milliseconds,ogtime,Behavior,Status
61.29032,61290.32,57994023.94,Laser,START
62.29032,62290.32,57994023.95,Laser,STOP
90.66987,90669.87,58023403.49,Laser,START
91.66987,91669.87,58023403.5,Laser,STOP
120.84966,120849.66,58053583.28,Laser,START
121.84966,121849.66,58053583.29,Laser,STOP
150.8374,150837.4,58083571.02,Laser,START
151.8374,151837.4,58083571.03,Laser,STOP
180.66513,180665.13,58113398.75,Laser,START
181.66513,181665.13,58113398.76,Laser,STOP
211.45295,211452.95,58144186.57,Laser,START
212.45295,212452.95,58144186.58,Laser,STOP
240.24061,240240.61,58172974.23,Laser,START
241.24061,241240.61,58172974.24,Laser,STOP
270.98042,270980.42,58203714.04,Laser,START
271.98042,271980.42,58203714.05,Laser,STOP
301.08022,301080.22,58233813.84,Laser,START
302.08022,302080.22,58233813.85,Laser,STOP
330.39581,330395.81,58263129.43,Laser,START
331.39581,331395.81,58263129.44,Laser,STOP
